©Çª«¦WºÙ	µ¥¯Å 	¥Í©R­È	°òÂ¦¸gÅç	±¼¸¨ª««~
Blue Snail (ÂÅÄ_)	2	15	4	Steel Ore (¿ûÅK¥ÀÄq)
Blue Snail (ÂÅÄ_)	2	15	4	Silver Ore (»Èªº¥ÀÄq)
Blue Snail (ÂÅÄ_)	2	15	4	Amethyst Ore (µµ¤ô´¹¥ÀÄq)
Blue Snail (ÂÅÄ_)	2	15	4	Opal Ore (³J¥Õ¥Û¥ÀÄq)
Shroom (Û£Û£¥J)	2	20	5	Brown Rocky Bandana (½Å¦â¬¥°òÀY¤y)
Shroom (Û£Û£¥J)	2	20	5	Jean Capris (ÂÅ°¨¿Ç)
Shroom (Û£Û£¥J)	2	20	5	Green Avelin Skirt (ºñ¦â®È¦æ¸È)
Shroom (Û£Û£¥J)	2	20	5	Ice Jeans (¯}Äê¤û¥J¿Ç)
Shroom (Û£Û£¥J)	2	20	5	Hand Axe (¤â©ò)
Shroom (Û£Û£¥J)	2	20	5	Field Dagger (¾Ô°«µu¤M)
Shroom (Û£Û£¥J)	2	20	5	Red Potion (¬õ¦âÃÄ¤ô)
Shroom (Û£Û£¥J)	2	20	5	Green Apple («CÄ«ªG)
Shroom (Û£Û£¥J)	2	20	5	Scroll for Cape for Defense 60% (©Ü­·¨¾¿m¤O 60% ±²¶b)
Shroom (Û£Û£¥J)	2	20	5	Mushroom Spore (Ä¨Û£ªÞÌU)
Shroom (Û£Û£¥J)	2	20	5	Mithril Ore (¾YÄq¥Û¥ÀÄq)
Shroom (Û£Û£¥J)	2	20	5	AquaMarine Ore (®üÂÅ¥Û¥ÀÄq)
Red Snail (¬õÄ_)	4	40	8	Amethyst Earrings (µµ¤ô´¹¦ÕÀô)
Red Snail (¬õÄ_)	4	40	8	Yellow T-Shirt (¶À¦â T «ò)
Red Snail (¬õÄ_)	4	40	8	Brown Rocky Suit (½Å¦â¬¥°ò¥~¦ç)
Red Snail (¬õÄ_)	4	40	8	Red Cloth Pants (¬õ¹Ú¿Ç)
Red Snail (¬õÄ_)	4	40	8	Red Cloth Pants (¬õ¹Ú¿Ç)
Red Snail (¬õÄ_)	4	40	8	Leather Sandals (°Êª«¥Ö²D¾c)
Red Snail (¬õÄ_)	4	40	8	Brown Woodsman Boots (½Å³n¥¬¾c)
Red Snail (¬õÄ_)	4	40	8	Brown Duo (½Åµu«ü¤â®M)
Red Snail (¬õÄ_)	4	40	8	Sword (¼C)
Red Snail (¬õÄ_)	4	40	8	Leather Purse (¥Ö»s¤â´£¥])
Red Snail (¬õÄ_)	4	40	8	Metal Wand (ª÷ÄÝµu§ú)
Red Snail (¬õÄ_)	4	40	8	Wooden Sword (¤ì¼C)
Red Snail (¬õÄ_)	4	40	8	Red Potion (¬õ¦âÃÄ¤ô)
Red Snail (¬õÄ_)	4	40	8	Green Apple («CÄ«ªG)
Red Snail (¬õÄ_)	4	40	8	Scroll for Overall Armor for DEX 10% (®MªA±Ó±¶¨÷¶b10%)
Red Snail (¬õÄ_)	4	40	8	Scroll for Cape for Defense 100% (©Ü­·¨¾¿m¤O 100% ±²¶b)
Red Snail (¬õÄ_)	4	40	8	Red Snail Shell (¬õÄ_´ß)
Red Snail (¬õÄ_)	4	40	8	Silver Ore (»Èªº¥ÀÄq)
Red Snail (¬õÄ_)	4	40	8	Opal Ore (³J¥Õ¥Û¥ÀÄq)
Stump (¤ì§¯)	4	45	8	White Tubetop (¥Õ¦âµLªÓ±a­I¤ß)
Stump (¤ì§¯)	4	45	8	Rookie Pants (¬õ¥Ö¥Ò¿Ç)
Stump (¤ì§¯)	4	45	8	Brown High Boots (½Å®È¦æ¾c)
Stump (¤ì§¯)	4	45	8	Bronze Aroa Boots (½Åµu¾c)
Stump (¤ì§¯)	4	45	8	Juno (µÃ¥Ò)
Stump (¤ì§¯)	4	45	8	Wooden Club (¤ì»s´Ò´Î)
Stump (¤ì§¯)	4	45	8	Triangular Zamadar (¤T¨¤¤b)
Stump (¤ì§¯)	4	45	8	Composite Bow (¿ûÅK¤})
Stump (¤ì§¯)	4	45	8	Leather Arms (¥[©T¥ÖÅ@¤â)
Stump (¤ì§¯)	4	45	8	Pistol (¤õºj)
Stump (¤ì§¯)	4	45	8	Red Potion (¬õ¦âÃÄ¤ô)
Stump (¤ì§¯)	4	45	8	Green Apple («CÄ«ªG)
Stump (¤ì§¯)	4	45	8	Scroll for Topwear for Defense 10% (¤W¦ç¨¾¿m¤O 10% ±²¶b)
Stump (¤ì§¯)	4	45	8	Scroll for Cape for Defense 10% (©Ü­·¨¾¿m¤O 10% ±²¶b)
Stump (¤ì§¯)	4	45	8	Tree Branch (¾ðªK)
Stump (¤ì§¯)	4	45	8	Adamantium Ore (¦¶Äq¥Û¥ÀÄq)
Stump (¤ì§¯)	4	45	8	Emerald Ore (¯ª¥Àºñ¥ÀÄq)
Slime (ºñ¤ôÆF)	6	50	10	White Bandana (¥ÕÀY¤y)
Slime (ºñ¤ôÆF)	6	50	10	Blue Jean Shorts (ÂÅ¤û¥Jµu¿Ç)
Slime (ºñ¤ôÆF)	6	50	10	Bronze Aroa Boots (½Åµu¾c)
Slime (ºñ¤ôÆF)	6	50	10	Beige Nitty (½Å¦w¥þ¾c)
Slime (ºñ¤ôÆF)	6	50	10	Lemona (Å]ªk¤â®M)
Slime (ºñ¤ôÆF)	6	50	10	Leather Purse (¥Ö»s¤â´£¥])
Slime (ºñ¤ôÆF)	6	50	10	Metal Axe (ÅK©ò)
Slime (ºñ¤ôÆF)	6	50	10	Iron Axe (ÅK»s©òÀY)
Slime (ºñ¤ôÆF)	6	50	10	Iron Axe (¿ûÅK©ò)
Slime (ºñ¤ôÆF)	6	50	10	Chopping Axe (¼A®ã©ò)
Slime (ºñ¤ôÆF)	6	50	10	Spear (ªøºj)
Slime (ºñ¤ôÆF)	6	50	10	Fork on a Stick (¤eºj)
Slime (ºñ¤ôÆF)	6	50	10	Gold Surfboard (ª÷¦â½Ä®öªO)
Slime (ºñ¤ôÆF)	6	50	10	Steel Knuckler (ÅK«üªê)
Slime (ºñ¤ôÆF)	6	50	10	Red Potion (¬õ¦âÃÄ¤ô)
Slime (ºñ¤ôÆF)	6	50	10	Green Apple («CÄ«ªG)
Slime (ºñ¤ôÆF)	6	50	10	Scroll for Overall Armor for Defense 10% (¥þ¨­ñZ¥Ò¨¾¿m¤O 10% ±²¶b)
Slime (ºñ¤ôÆF)	6	50	10	Scroll for Bottomwear for Defense 10% (¿Ç¸È¨¾¿m¤O 10% ±²¶b)
Slime (ºñ¤ôÆF)	6	50	10	Scroll for Cape for DEX 100% (©Ü­·±Ó±¶¨÷¶b100%)
Slime (ºñ¤ôÆF)	6	50	10	Scroll for Cape for Defense 15% (©Ü­·¨¾¿m¤O 15% ±²¶b)
Slime (ºñ¤ôÆF)	6	50	10	Squishy Liquid (ºñ²G²y)
Slime (ºñ¤ôÆF)	6	50	10	Slime Bubble (ºñ¤ôÆF¯])
Slime (ºñ¤ôÆF)	6	50	10	Orihalcon Ore (µµÄq¥Û¥ÀÄq)
Pig (ªÎªÎ)	7	75	15	Brown Skullcap (½Å¦â¥Ö´U)
Pig (ªÎªÎ)	7	75	15	Brown Rocky Bandana (½Å¦â¬¥°òÀY¤y)
Pig (ªÎªÎ)	7	75	15	Dark Nightshift (¶Â©])
Pig (ªÎªÎ)	7	75	15	Red-Striped T-Shirt (¶À¬õµuT)
Pig (ªÎªÎ)	7	75	15	Orange Lolica Armor (¶À¥Ö»sñZ¥Ò)
Pig (ªÎªÎ)	7	75	15	White Split Skirt (¥Õ¦÷ÂÅ¸È)
Pig (ªÎªÎ)	7	75	15	Brown Hard Leather Pants (½Å¦â¥Ö»s¿Ç)
Pig (ªÎªÎ)	7	75	15	Wooden Samurai Sword (¤Û¤ì¼C)
Pig (ªÎªÎ)	7	75	15	Wooden Mallet (¤ìÁè)
Pig (ªÎªÎ)	7	75	15	Garnier (¥[¥§º¸¾c)
Pig (ªÎªÎ)	7	75	15	Red Potion (¬õ¦âÃÄ¤ô)
Pig (ªÎªÎ)	7	75	15	Green Apple («CÄ«ªG)
Pig (ªÎªÎ)	7	75	15	Scroll for Shoes for Avoidability 10% (¾c¤l°jÁ×²v 10% ±²¶b)
Pig (ªÎªÎ)	7	75	15	Scroll for Cape for LUK 100% (©Ü­·©¯¹B¨÷¶b100%)
Pig (ªÎªÎ)	7	75	15	Pig's Head (ªÎªÎÀY)
Pig (ªÎªÎ)	7	75	15	Leather (°Êª«¥Ö)
Pig (ªÎªÎ)	7	75	15	Gold Ore (¶Àª÷¥ÀÄq)
Pig (ªÎªÎ)	7	75	15	Topaz Ore (¶À´¹¥ÀÄq)
Orange Mushroom (Û£Û£Ä_¨©)	7	75	15	Bronze Koif («C»ÉÀY²¯)
Orange Mushroom (Û£Û£Ä_¨©)	7	75	15	Brown Rocky Suit (½Å¦â¬¥°ò¥~¦ç)
Orange Mushroom (Û£Û£Ä_¨©)	7	75	15	White Gomushin (¥Õ¾ó½¦¾c)
Orange Mushroom (Û£Û£Ä_¨©)	7	75	15	Brown Hard Leather Boots (½Åµw¥Ö¾c)
Orange Mushroom (Û£Û£Ä_¨©)	7	75	15	Red Ninja Sandals (¬õ§ÔªÌ²D¾c)
Orange Mushroom (Û£Û£Ä_¨©)	7	75	15	Basic Archer Gloves («C¬¼Ây¤â®M)
Orange Mushroom (Û£Û£Ä_¨©)	7	75	15	Double Axe (Âù¤b©ò)
Orange Mushroom (Û£Û£Ä_¨©)	7	75	15	Spear (ªøºj)
Orange Mushroom (Û£Û£Ä_¨©)	7	75	15	Red Potion (¬õ¦âÃÄ¤ô)
Orange Mushroom (Û£Û£Ä_¨©)	7	75	15	Scroll for Helmet for Defense 60% (ÀY²¯¨¾¿m¤O 60% ±²¶b)
Orange Mushroom (Û£Û£Ä_¨©)	7	75	15	Scroll for Shoes for Jump 10% (¾c¤l¸õÅD¨÷¶b10%)
Orange Mushroom (Û£Û£Ä_¨©)	7	75	15	Scroll for Cape for Defense 100% (©Ü­·¨¾¿m¤O 100% ±²¶b)
Orange Mushroom (Û£Û£Ä_¨©)	7	75	15	Orange Mushroom Cap (Û£Û£Ä_¨©³Ê)
Orange Mushroom (Û£Û£Ä_¨©)	7	75	15	Bronze Ore («C»É¥ÀÄq)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Amethyst Earrings (µµ¤ô´¹¦ÕÀô)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Silver Leather Hoodwear (»È³s´U¤}½b¤âªA)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Orange Sporty T-Shirt (¾í¦â¹B°ÊT«ò)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Dark Nightshift (¶Â©])
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Red-Striped T-Shirt (¶À¬õµuT)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Brown Cotton Lagger (½Å¦â¥Ö¥~®M)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Dark Nightshift Pants (¶Â©]¿Ç)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	White Split Skirt (¥Õ¦÷ÂÅ¸È)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Brown Lagger Slipper (½Å¦â©ì¾c)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Wooden Samurai Sword (¤Û¤ì¼C)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Pistol (¤õºj)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Red Potion (¬õ¦âÃÄ¤ô)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Scroll for Shield for Defense 10% (¬ÞµP¨¾¿m¤O 10% ±²¶b)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Pig's Ribbon (½¹½ºµ²)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Leather (°Êª«¥Ö)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Stiff Feather (°íµwªº¦Ð¤ò)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Mithril Ore (¾YÄq¥Û¥ÀÄq)
Ribbon Pig (½v±aªÎªÎ)	10	120	20	Amethyst Ore (µµ¤ô´¹¥ÀÄq)
Dark Stump (¶Â¤ì§¯)	10	250	18	Bronze Helmet («C»É´U)
Dark Stump (¶Â¤ì§¯)	10	250	18	Brown Lagger Cap (¦Ç¦âµÜ§J´U)
Dark Stump (¶Â¤ì§¯)	10	250	18	Single Earring (³æÃä»È¦â¦ÕÀô)
Dark Stump (¶Â¤ì§¯)	10	250	18	Green Arianne (ºñÀAµ·ºò¨­¦ç)
Dark Stump (¶Â¤ì§¯)	10	250	18	Yellow Avelin (¶À®È¦æªA)
Dark Stump (¶Â¤ì§¯)	10	250	18	Green Arianne Skirt (ºñÀAµ·ºò¨­¸È)
Dark Stump (¶Â¤ì§¯)	10	250	18	Yellow Avelin Skirt (¶À®È¦æ¸È)
Dark Stump (¶Â¤ì§¯)	10	250	18	Stolen Fence (¤ì¬Þ)
Dark Stump (¶Â¤ì§¯)	10	250	18	Machete (°f¤ë¤M)
Dark Stump (¶Â¤ì§¯)	10	250	18	Wooden Staff (¤ì»sªø§ú)
Dark Stump (¶Â¤ì§¯)	10	250	18	Pole Arm (ÅK´u)
Dark Stump (¶Â¤ì§¯)	10	250	18	Steel Knuckler (ÅK«üªê)
Dark Stump (¶Â¤ì§¯)	10	250	18	Red Potion (¬õ¦âÃÄ¤ô)
Dark Stump (¶Â¤ì§¯)	10	250	18	Orange Potion (¾ï¦âÃÄ¤ô)
Dark Stump (¶Â¤ì§¯)	10	250	18	Blue Potion (ÂÅ¦âÃÄ¤ô)
Dark Stump (¶Â¤ì§¯)	10	250	18	Scroll for Gloves for Accuracy 10% (¤â®M©R¤¤²v 10% ±²¶b)
Dark Stump (¶Â¤ì§¯)	10	250	18	Leaf (¸­¤l)
Dark Stump (¶Â¤ì§¯)	10	250	18	Steel Ore (¿ûÅK¥ÀÄq)
Dark Stump (¶Â¤ì§¯)	10	250	18	Garnet Ore (¥Ûºh¥Û¥ÀÄq)
Dark Stump (¶Â¤ì§¯)	10	250	18	Dry Branch (°®¬\ªº¾ðªK)
Octopus (¤T²´³¹³½)	12	200	24	Single Earring (³æÃä»È¦â¦ÕÀô)
Octopus (¤T²´³¹³½)	12	200	24	Brown Corporal («C»É¯Ý¥Ò)
Octopus (¤T²´³¹³½)	12	200	24	Yellow Arianne (¶ÀÀAµ·ºò¨­¦ç)
Octopus (¤T²´³¹³½)	12	200	24	Brown Corporal Pants (½Å¦âÅKªO¿Ç¤l)
Octopus (¤T²´³¹³½)	12	200	24	Yellow Arianne Skirt (¶ÀÀAµ·ºò¨­¸È)
Octopus (¤T²´³¹³½)	12	200	24	Steel Shield (¿û¬Þ)
Octopus (¤T²´³¹³½)	12	200	24	Battle Shield (¾Ô°«¬ÞµP)
Octopus (¤T²´³¹³½)	12	200	24	Wooden Mallet (¤ìÁè)
Octopus (¤T²´³¹³½)	12	200	24	Aqua Snowboard (·É®ü³·ªO)
Octopus (¤T²´³¹³½)	12	200	24	Leather Arms (¥[©T¥ÖÅ@¤â)
Octopus (¤T²´³¹³½)	12	200	24	Red Potion (¬õ¦âÃÄ¤ô)
Octopus (¤T²´³¹³½)	12	200	24	Blue Potion (ÂÅ¦âÃÄ¤ô)
Octopus (¤T²´³¹³½)	12	200	24	Scroll for One-Handed Sword for ATT 10% (³æ¤â¼C§ðÀ»¨÷¶b10%)
Octopus (¤T²´³¹³½)	12	200	24	Octopus Leg (³¹³½¸})
Octopus (¤T²´³¹³½)	12	200	24	Adamantium Ore (¦¶Äq¥Û¥ÀÄq)
Green Mushroom (ºñÛ£Û£)	15	250	26	Brown Winter Hat (½Å¦â°ª¯Å¥Ö´U)
Green Mushroom (ºñÛ£Û£)	15	250	26	Old Wisconsin (ª¯¥Ö´U)
Green Mushroom (ºñÛ£Û£)	15	250	26	Green Matty (ºñ¬PÅ]ªk´U)
Green Mushroom (ºñÛ£Û£)	15	250	26	Single Earring (³æÃä»È¦â¦ÕÀô)
Green Mushroom (ºñÛ£Û£)	15	250	26	Purple Arianne (µµÀAµ·ºò¨­¦ç)
Green Mushroom (ºñÛ£Û£)	15	250	26	Green Arianne (ºñÀAµ·ºò¨­¦ç)
Green Mushroom (ºñÛ£Û£)	15	250	26	Red Nightshift (¨ª©])
Green Mushroom (ºñÛ£Û£)	15	250	26	Grey Able Armor (¶Â¥Ö»s®È¦æªA)
Green Mushroom (ºñÛ£Û£)	15	250	26	Blue Pao Bottom (ÂÅ­ð­m¿Ç)
Green Mushroom (ºñÛ£Û£)	15	250	26	Purple Arianne Skirt (µµÀAµ·ºò¨­¸È)
Green Mushroom (ºñÛ£Û£)	15	250	26	Red Nightshift Pants (¨ª©]¿Ç)
Green Mushroom (ºñÛ£Û£)	15	250	26	Grey Able Skirt (¦Ç®È¦æ¥Ö¸È)
Green Mushroom (ºñÛ£Û£)	15	250	26	Brown Lagger Slipper (½Å¦â©ì¾c)
Green Mushroom (ºñÛ£Û£)	15	250	26	Pan Lid (Áç»\)
Green Mushroom (ºñÛ£Û£)	15	250	26	Long Sword (¤j¼C)
Green Mushroom (ºñÛ£Û£)	15	250	26	Mace (ÅK¥ÊÁè)
Green Mushroom (ºñÛ£Û£)	15	250	26	Iron Axe (ÅK»s©òÀY)
Green Mushroom (ºñÛ£Û£)	15	250	26	Chopping Axe (¼A®ã©ò)
Green Mushroom (ºñÛ£Û£)	15	250	26	Zeco (Âù¤Ñ´u)
Green Mushroom (ºñÛ£Û£)	15	250	26	Aqua Snowboard (·É®ü³·ªO)
Green Mushroom (ºñÛ£Û£)	15	250	26	Composite Bow (¿ûÅK¤})
Green Mushroom (ºñÛ£Û£)	15	250	26	Battle Crossbow (¾Ô°«©¸¤})
Green Mushroom (ºñÛ£Û£)	15	250	26	Leather Arms (¥[©T¥ÖÅ@¤â)
Green Mushroom (ºñÛ£Û£)	15	250	26	Red Potion (¬õ¦âÃÄ¤ô)
Green Mushroom (ºñÛ£Û£)	15	250	26	Orange Potion (¾ï¦âÃÄ¤ô)
Green Mushroom (ºñÛ£Û£)	15	250	26	Blue Potion (ÂÅ¦âÃÄ¤ô)
Green Mushroom (ºñÛ£Û£)	15	250	26	Scroll for Shoes for Mobility 100% (¾c¤l²¾°Ê³t«× 100% ±²¶b)
Green Mushroom (ºñÛ£Û£)	15	250	26	Scroll for Shield for Defense 10% (¬ÞµP¨¾¿m¤O 10% ±²¶b)
Green Mushroom (ºñÛ£Û£)	15	250	26	Scroll for Cape for DEX 10% (©Ü­·±Ó±¶¨÷¶b10%)
Green Mushroom (ºñÛ£Û£)	15	250	26	Scroll for One-Handed Axe for ATT 10% (³æ¤â©ò§ðÀ»¨÷¶b10%)
Green Mushroom (ºñÛ£Û£)	15	250	26	Scroll for Claw for ATT 60% (®±®M§ðÀ»¨÷¶b60%)
Green Mushroom (ºñÛ£Û£)	15	250	26	Green Mushroom Cap (ºñÛ£Û£³Ê)
Green Mushroom (ºñÛ£Û£)	15	250	26	Silver Ore (»Èªº¥ÀÄq)
Green Mushroom (ºñÛ£Û£)	15	250	26	Orihalcon Ore (µµÄq¥Û¥ÀÄq)
Green Mushroom (ºñÛ£Û£)	15	250	26	AquaMarine Ore (®üÂÅ¥Û¥ÀÄq)
Green Mushroom (ºñÛ£Û£)	15	250	26	Emerald Ore (¯ª¥Àºñ¥ÀÄq)
Green Mushroom (ºñÛ£Û£)	15	250	26	Animal Fossil (°Êª«°©¤Æ¥Û)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Red Apprentice Hat (¬õ¦âÂÂÅ]ªk´U)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Blue Nightshift («C©])
Bubbling (ÂÅ¤ôÆF)	15	240	26	Yellow Able Armor (¶À¥Ö»s®È¦æªA)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Blue Nightshift Pants («C©]¿Ç)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Brown Able Skirt (½Å®È¦æ¥Ö¸È)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Blue Jewelry Boots (ÂÅÄ_¥Û¾c)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Green Lagger Halfglove (ºñ¦â¥Ö¤â®M)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Blue Flowery Tube (ÂÅ¦âªá¯¾ºÞ)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Wooden Samurai Sword (¤Û¤ì¼C)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Iron Axe (ÅK»s©òÀY)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Chopping Axe (¼A®ã©ò)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Spear (ªøºj)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Fish Spear (®ü¯«¤e)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Gold Surfboard (ª÷¦â½Ä®öªO)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Dellinger Special (­}ªL®æ¤õºj)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Red Potion (¬õ¦âÃÄ¤ô)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Blue Potion (ÂÅ¦âÃÄ¤ô)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Scroll for Shoes for Mobility 100% (¾c¤l²¾°Ê³t«× 100% ±²¶b)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Scroll for Cape for Defense 60% (©Ü­·¨¾¿m¤O 60% ±²¶b)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Scroll for Cape for INT 100% (©Ü­·´¼¤O¨÷¶b100%)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Scroll for Dagger for ATT 10% (µu¼C§ðÀ»¨÷¶b10%)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Bubbling's Huge Bubble (ÂÅ¤ôÆF¯])
Bubbling (ÂÅ¤ôÆF)	15	240	26	The Magic Rock (Å]ªk¥Û)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Mithril Ore (¾YÄq¥Û¥ÀÄq)
Bubbling (ÂÅ¤ôÆF)	15	240	26	Sapphire Ore (ÂÅÄ_¥Û¥ÀÄq)
Axe Stump (©ò¤ì§¯)	17	300	30	Yellow Starry Bandana (¶À¬PÀY¤y)
Axe Stump (©ò¤ì§¯)	17	300	30	Blue Robin Hat (ÂÅ¦ÐÁl´U)
Axe Stump (©ò¤ì§¯)	17	300	30	Amethyst Earrings (µµ¤ô´¹¦ÕÀô)
Axe Stump (©ò¤ì§¯)	17	300	30	Orange Split Piece (¦¶¬õ¦÷ÂÅ)
Axe Stump (©ò¤ì§¯)	17	300	30	Brown Nightshift (¶À©])
Axe Stump (©ò¤ì§¯)	17	300	30	Blue Avenger (ÂÅ­¸¼v¥Ò)
Axe Stump (©ò¤ì§¯)	17	300	30	White Split Pants (¥Õ¦÷ÂÅ¿Ç)
Axe Stump (©ò¤ì§¯)	17	300	30	Brown Nightshift Pants (¶À©]¿Ç)
Axe Stump (©ò¤ì§¯)	17	300	30	Bronze Aroa Boots (½Åµu¾c)
Axe Stump (©ò¤ì§¯)	17	300	30	Battle Shield (¾Ô°«¬ÞµP)
Axe Stump (©ò¤ì§¯)	17	300	30	Wooden Top (¤ì»sªûÁ³)
Axe Stump (©ò¤ì§¯)	17	300	30	Contra Axe (©ø¼w©Ô©òÀY)
Axe Stump (©ò¤ì§¯)	17	300	30	Wizard Wand (ªk®vµu§ú)
Axe Stump (©ò¤ì§¯)	17	300	30	Old Wooden Staff (¥j¾ðªø§ú)
Axe Stump (©ò¤ì§¯)	17	300	30	Wooden Sword (¤ì¼C)
Axe Stump (©ò¤ì§¯)	17	300	30	Wooden Baseball Bat (¤ì²y´Ò)
Axe Stump (©ò¤ì§¯)	17	300	30	Dellinger Special (­}ªL®æ¤õºj)
Axe Stump (©ò¤ì§¯)	17	300	30	Red Potion (¬õ¦âÃÄ¤ô)
Axe Stump (©ò¤ì§¯)	17	300	30	Blue Potion (ÂÅ¦âÃÄ¤ô)
Axe Stump (©ò¤ì§¯)	17	300	30	Scroll for One-Handed BW for ATT 10% (³æ¤â´Ò§ðÀ»¨÷¶b10%)
Axe Stump (©ò¤ì§¯)	17	300	30	Firewood (¤ì®ã)
Axe Stump (©ò¤ì§¯)	17	300	30	Orihalcon Ore (µµÄq¥Û¥ÀÄq)
Axe Stump (©ò¤ì§¯)	17	300	30	Opal Ore (³J¥Õ¥Û¥ÀÄq)
Axe Stump (©ò¤ì§¯)	17	300	30	Plant Fossil (´Óª«¾ð¸­¤Æ¥Û)
Axe Stump (©ò¤ì§¯)	17	300	30	Dry Branch (°®¬\ªº¾ðªK)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Red Thief Hood (µs¸é¬õÀY¤y)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Blue Feather Hat (ÂÅ¦Ð¤ò´U)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Black Split Piece (¶Â¦â¶}Ð®¤W¦ç)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Black Split (¶Â¦÷ÂÅ)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Yellow Able Armor (¶À¥Ö»s®È¦æªA)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Blue Wizard Robe (ÂÅªª®vªø³T)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Green Plain Robe (ºñÅ]ªk³T)
Ghost Stump (µoªÞ¤ì§¯)	19	330	33	Black Split Skirt (¶Â¦÷ÂÅ¸È)
